,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220601,2022,06,01,1,동동,"타 기관 인증서 불러오기가 안되는데 대체 무슨 일이죠?? 범용공동인증서를 등록하려고 하는데 이건 애초에 모바일로 발급 받은거라 모바일에 인증서가 있는건데요;; 범용인증서, 타 은행 인증서 둘 다 일부러 데탑으로 한번 내보내고 모바일로 다시 복사까지 했는데도 인식을 못하네요. 타행인증서를 인식 못해서 가져오기를 누르면 케이뱅크용 가져오기 화면으로 넘어가는 건 뭔가요. 어차피 타행에서 받은 게 이미 있어서 케이뱅크 인증서는 새로 받지도 못하는데. 이번엔 지웠다 다시 깔아보라고 하진 않으시겠죠? 저장되는 위치가 똑같을텐데 어차피 인식도 못하는 걸;; 대체 폰 붙잡고 1시간 넘게 무슨 고생인가 모르겠습니다."
1,2,20220626,2022,06,26,2,Younghoon Jeon,"다른건 다 모르겠고 어플 켰을 때 메인 화면이 뜨기까지 시간 좀 더 단축시켜주세요. 카카오뱅크,토스등 대비해서 인증거쳐서 메인화면 뜨기까지의 시간이 3초 가량 또는 그 이상 차이가 나는데 적은 시간으로 보일 수 있지만 그 몇 초의 로딩 시간 차이가 오픈뱅킹 시대에서 가장 많이 쓰는 이체를 위해 이 어플을 실행할 지 다른 어플을 실행할지 고민할 때 우선순위 충분히 영향을 줄 듯 합니다. 로딩 시간 단 몇 초의 차이가 이 어플은 무거운 어플이다는 인식이 생깁니다."
2,3,20220629,2022,06,29,1,Kuee Haeng Lee,"타기관인증서를 갱신하면서 인증서가져오기를 수행했는데요. QR로 가져오기는 아예 안돼고, 인증번호로 가져오기는 마지막 인증서비번 넣을때 특수문자가 포함돼지 않는 비밀번호라고 가져오기를 못하더라고요. 예전에 안그랬었는데 왜 바꿨는지 이해가 안돼요. 인증서를 갱신할때 그러면 이해가 돼는데, 인증서 가져오는데 암호가 맞는지체크하면 될것을 암호안에 특수문자가 없다고 인증서 가져오길 못하는 경우가 맞는규정인가요? 휴대폰에 인증서를 못넣어서 매우 불편하네요. 다른데서도 다 사용하고 있어서 인증서 비번을 특수문자 넣어서 바꿀생각은 없습니다."
3,4,20220709,2022,07,09,3,brian lryan,"갤럭시쓰는데 알림진동이 안 울립니다.(에티켓모드 아님) 전에 리뷰보니까 다른분들도 동일증상있는거 같은데 케이뱅크 측에서 자체적으로 확인좀 해주시고요, 이체할때 전액버튼 없는건 황당하네요. 기본적으로 있어야 되는건데 바로 만들어주시기 바랍니다."
4,5,20220625,2022,06,25,5,박태준,뭣같은 앱아이콘을 바꾼건 정말 좋네요. 거기다 묘하게 앱 자체의 속도도 빨라진 느낌이 들고 많이 좋아졌네요. 여기서 만족하지 않고 UI라던가 최적화라던가 앞으로도 어플 자체에 신경을 더 많이 써주셨으면 좋겠습니다.
5,6,20190819,2019,08,19,1,Google 사용자,앱에 오류가 있습니다. 자유적금 가입 시 마지막에 팝업메뉴로 가입확인 버튼을 눌러야 하는데 가입확인 버튼이 화면 밑에 가려서 보이질 않아요. 현재 자유적금을 가입할 수가 없네요. 그리고 사용감에 있어서 이 앱은 최악입니다. 사용하다가 뒤로 가기를 누르면 케이뱅크 홈화면으로 가는 경우가 굉장히 많네요. 또한 쓸데없이 화면전환이 너무 많아요. 그냥 한 화면에서 처리할 수 있는 것을 왜 화면을 바꿔 가면서 처리하게 만들었는지 이해할 수 없어요. 버튼 누르면 다음 화면으로 넘어가고 또 버튼 누르면 다음화면으로 이동하고.. 서버도 안 좋은 서버를 쓰는지 느리기까지 해서 사용하는데 너무 불편해요.
6,7,20200704,2020,07,04,5,정진현,"제가 보유한 은행 앱 중에서 단연 최고입니다. 디자인도 좋고 UI도 직관적입니다. 인증절차 간편하면서도 나름 강력한 보안이 느껴집니다. 앱을 이용하면 기분도 좋아집니다. 마지막으로...리뷰를 모니터링 하는 거 같아 이번에 불편한 부분 개선 제안드립니다. 저와 비슷한 불편을 겪는 분들 있을 거 같아요. 바이오 인증 시 신분증 촬영이 있는데 주민번호 뒷자리 중 숫자 9가 계속 인식이 되지 않는 오류가 있습니다. 몇 십 번 시도했지만 6으로 인식이 됐어요. 문제는 다른 정보와 달리 주민번호는 수기로 수정이 안되어 재촬영만을 계속 요구합니다. 결국 상담원 연결 영상통화로 해결했는데, 매우 불편하였습니다. 번호인식 개선 또는 수기 작성 가능하게 해주시면 좋을 것 같습니다. 신분증 촬영이 빈번하진 않지만 꼭 급할 때 이런 촬영 인증 하게 되더라구요. 그럼 케이뱅크 화이팅입니다!"
7,8,20211201,2021,12,01,3,김세나,잘사용하고있었는데 업데이트하면서 플러스박스가 스와프로바뀌었네요. 기존엔 한눈에 볼수있어서 편했는데 아쉬워요. 게다가 이번건 한번에 끝까지 스와이프되는것도 아니고 자주쓰는거 위치앞으로 당길려고 봤더니 그런기능도 없네요 ㅠㅠ(☆순서 바꾸는 기능좀 넣어주세요!@@!!) 컬러도 굳이 바뀔이유가없었건것같아요. 전에컬러가 더 잘보입니다..
8,9,20210704,2021,07,04,1,나무늘푸른,"점수 1점도 아깝습니다. 비대면 계좌 몇개를 개설해서 사용 하는데 유독 케이 뱅크만 안되는 이유가 뭘까. 아주 선명하게 찍어 놓고는 안된다고? 수십번 촬영 하면서 분석한 결과 아래 주민등록 발급월이 10월 같이 두자리 수가 아닌 즉 한자리로 된 월에 발급 받은 사람들은 01, 02 이렇게 되어 있지 않고 1, 2 이렇게 되어 있으면 절대 못읽음. 다른거 다 읽으면서 그 한 부분만 검정색으로 깨짐. 일월 표기형식이 고정된 것 같음. 그래서 보내다 지쳤고 제 정보는 모두 지워주세요."
9,10,20191211,2019,12,11,3,Google 사용자,"관계자님 바쁘시겠지만 빠른 답변 부탁드려요.. 휴대폰 새로개통하고 공인인증서 재발행하는 과정에서 새기기인증하기로 앱을 시작하려고하니, . 간편 비밀번호 누르는 란에서 아무것도 눌러지지가 않습니다. 휴대폰의 문제는 아닌것같구요,. 새 폰에다 다른 경우에선 그런 게 없으니.. 아무튼 간편비밀번호 누르는 란에서 간편비밀번호 ㅡ ㅡ ㅡ ㅡ ㅡ ㅡ 이런 창 있지요,? 눌러도 키패드가 안뜹니다. 물론 휴대폰의 문제가 아니니 당연히 홈키, 뒤로가기등 폰 자체의 키는 다 되구요.. 해결책좀 알려주십쇼 제발,."
10,11,20201003,2020,10,03,3,Jay Kim,업데이트 이후 행운상자열기나 기타 페이지를 열때마다 로그아웃되어 버려서 해당페이지들을 이용할수가 없네요. 다행히 계좌 이체나 조회같은 기본적인 기능이용에는 문제가 없긴한데.. 행운상자를 받아도 열수가 없으니 답답하네요 심지어 고객센터 페이지도 누르면 로그아웃되어 버리니까 뭘 할수가 없습니다. 확인부탁드려요
11,12,20190429,2019,04,29,1,Google 사용자,g2쓰고있는데 어느순간부터 폰전원켤때 케이뱅크 앱때문에 10분후에 전원켜집니다. 다른분들도 그런 오류내용들이 많네요. 해결답변대로 sd카드 제거후 케이뱅크 앱 다시 설치해보는데 설치도 안됩니다. 이놈의 앱때문에 배터리도 빨리닳고 폰자체 오류도 많아졌어요. 이젠 앱이 깔리지도않는데 사용하지말란건가요???? 정말 답답해서 글남깁니다.
